iter	Logloss
0	0.6700796726
1	0.6493064888
2	0.6290500543
3	0.611956891
4	0.5950227279
5	0.5821413485
6	0.5686742944
7	0.5578404515
8	0.5475708032
9	0.5388539782
10	0.5304394888
11	0.5230473685
12	0.5163402188
13	0.5108121861
14	0.5038194387
15	0.4987563669
16	0.4943705775
17	0.4892130355
18	0.4852523877
19	0.4807293416
20	0.4777617271
21	0.4740295789
22	0.4708991965
23	0.4682510854
24	0.465374527
25	0.4632621503
26	0.4611166834
27	0.4593568606
28	0.4570889226
29	0.4549157942
30	0.4530916556
31	0.451762986
32	0.4502056097
33	0.4487962374
34	0.4450538524
35	0.4433924359
36	0.4420657787
37	0.4407057603
38	0.4393502094
39	0.4381049141
40	0.4371104677
41	0.4355879602
42	0.4344612034
43	0.4333246861
44	0.4323676453
45	0.4313281684
46	0.4301805392
47	0.4290735435
48	0.4280347715
49	0.427421876
50	0.4267518966
51	0.4258734485
52	0.4251009995
53	0.4242570594
54	0.4232603516
55	0.4223183118
56	0.4213530928
57	0.4204851255
58	0.4196981646
59	0.4184985402
60	0.4179798712
61	0.417219743
62	0.4166060557
63	0.415690493
64	0.4142940567
65	0.4137474405
66	0.4132291588
67	0.4128025264
68	0.4121064715
69	0.4112070111
70	0.4106161982
71	0.4098336113
72	0.407293863
73	0.4066922954
74	0.4061214111
75	0.4055653017
76	0.4055155073
77	0.4046864304
78	0.4040998807
79	0.4035016923
80	0.4030047309
81	0.4024142422
82	0.4017525229
83	0.4011449183
84	0.4004437002
85	0.3999999294
86	0.3993731543
87	0.3987195505
88	0.3980046605
89	0.3973238525
90	0.3968323841
91	0.3964789174
92	0.3959957679
93	0.3956501139
94	0.395346854
95	0.3949784782
96	0.3948009093
97	0.394224351
98	0.3939963898
99	0.3935666687
100	0.3930313297
101	0.3926205831
102	0.3921936069
103	0.3916316909
104	0.3914916663
105	0.3909655488
106	0.3904770699
107	0.3904334461
108	0.3899656339
109	0.3890042508
110	0.388645827
111	0.3881065395
112	0.3876792312
113	0.3872306865
114	0.3868667401
115	0.3864814031
116	0.3861404803
117	0.3856275196
118	0.3850383977
119	0.3845697042
120	0.3842078359
121	0.3837737864
122	0.3834072765
123	0.3829768054
124	0.3827045149
125	0.3823573621
126	0.381848746
127	0.3812801938
128	0.3809433996
129	0.3804697861
130	0.3801853874
131	0.3798121151
132	0.3793908949
133	0.37904933
134	0.3786973831
135	0.377895466
136	0.3774352661
137	0.3771613085
138	0.3767522273
139	0.3760774455
140	0.3753559625
141	0.3748846337
142	0.3744925721
143	0.3740205843
144	0.3736587517
145	0.3733494841
146	0.3731503669
147	0.3729677168
148	0.3726946981
149	0.3722004117
150	0.3718622591
151	0.3714043644
152	0.3711080582
153	0.3706184754
154	0.3701785839
155	0.3698375491
156	0.3695367481
157	0.3690306723
158	0.3686543927
159	0.3681873903
160	0.3678730059
161	0.3674264956
162	0.3670778
163	0.3667814994
164	0.3660936503
165	0.3658832313
166	0.3653816115
167	0.3649583922
168	0.3646629484
169	0.3643561729
170	0.3639775124
171	0.3636374114
172	0.3632808736
173	0.3630635569
174	0.362584448
175	0.3624053016
176	0.3620508383
177	0.3617601027
178	0.361456229
179	0.3610984008
180	0.3607154527
181	0.3604921345
182	0.3595592326
183	0.3593288305
184	0.3589358884
185	0.3584669607
186	0.3582034762
187	0.3579861525
188	0.3576330293
189	0.3571694109
190	0.3569198697
191	0.3566248547
192	0.3563410079
193	0.3558862444
194	0.3556110173
195	0.3553534732
196	0.3550902829
197	0.3548517433
198	0.3545068873
199	0.3540927506
200	0.3537122485
201	0.3534298934
202	0.3530300117
203	0.3525913965
204	0.3523017131
205	0.3518517168
206	0.3514655705
207	0.3510367664
208	0.3502147858
209	0.3498639789
210	0.3494833661
211	0.3491388777
212	0.3487754151
213	0.3483760451
214	0.3479486332
215	0.34772038
216	0.3472802632
217	0.3467973078
218	0.3465557726
219	0.3461666926
220	0.3459794998
221	0.3458174367
222	0.3446314743
223	0.3443675315
224	0.3439559906
225	0.3436834396
226	0.343506568
227	0.3430779258
228	0.3419805413
229	0.3416898677
230	0.3413812185
231	0.3409998697
232	0.3407853446
233	0.3399552813
234	0.3394462404
235	0.3387549905
236	0.3384897844
237	0.3379593442
238	0.3374900829
239	0.3372366215
240	0.3369393123
241	0.3367329956
242	0.3364200783
243	0.3360961048
244	0.3357606993
245	0.3352504698
246	0.3349574228
247	0.3347450087
248	0.3345099047
249	0.3341940829
250	0.3338858541
251	0.3334776458
252	0.3331531895
253	0.3329777591
254	0.3327128277
255	0.3323471086
256	0.3321063744
257	0.3319037986
258	0.3315448732
259	0.3313848041
260	0.3311190798
261	0.3307742916
262	0.3303878969
263	0.3300464917
264	0.3297152046
265	0.3293337063
266	0.3291814575
267	0.3290437954
268	0.3287998105
269	0.3285847855
270	0.3282644501
271	0.3279303584
272	0.3274804418
273	0.3272573209
274	0.3268998542
275	0.3265993847
276	0.326330129
277	0.3259078351
278	0.3257299739
279	0.3254087537
280	0.3251263733
281	0.3248099206
282	0.3244648974
283	0.3241255074
284	0.323730105
285	0.3235623384
286	0.3232712595
287	0.323050591
288	0.3227680087
289	0.3224745444
290	0.3221973766
291	0.3218252856
292	0.3214882251
293	0.321132065
294	0.3208336866
295	0.3203909561
296	0.3201107713
297	0.3197571087
298	0.3195693827
299	0.3191445024
